"ruleId","ruleType","fieldId","description","noticeSubtype","condition","expression","target","severity","cvsStage"
"BR-BT-00001-0032","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – general directive.","25","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0033","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – sectoral directive.","26","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0034","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – defence directive.","27","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0035","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – concession directive.","28","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0036","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract award notice – general directive, standard regime.","29","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0037","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract award notice – sectoral directive, standard regime.","30","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0038","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract award notice – defence directive, standard regime.","31","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0039","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Concession award notice – concession directive, standard regime.","32","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0041","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type .","T02","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0042","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract award notice – general directive, light regime.","33","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0043","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract award notice – sectoral directive, light regime.","34","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0044","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Concession award notice – concessions directive, light regime.","35","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0045","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Design contest result notice – general directive, design.","36","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0046","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Design contest result notice – sectoral directive, design.","37","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0047","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract modification notice – general directive.","38","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0048","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract modification notice – sectoral directive.","39","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0049","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract modification notice – concessions directive.","40","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0108","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0109","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0110","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0111","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Prior information notice used only for information – general directive.","4","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0112","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Periodic indicative notice used only for information – sectoral directive.","5","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0113","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Prior information notice used only for information – defence directive.","6","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0115","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type .","T01","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0116","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – general directive.","7","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0117","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Periodic indicative notice used to shorten time limits for receipt of tenders – sectoral directive.","8","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0118","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – defence directive.","9","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0119","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Prior information notice used as a call for competition - general directive, standard regime.","10","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0120","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, standard regime.","11","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0121","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type .","CEI","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0122","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Prior information notice used as a call for competition - general directive, light regime.","12","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0123","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, light regime.","13","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0124","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Prior information notice used as a call for competition - concessions directive, light regime.","14","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0125","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Notice on the existence of a qualification system – sectoral directive.","15","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0126","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract notice – general directive, standard regime.","16","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0127","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract notice – sectoral directive, standard regime.","17","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0128","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract notice – defence directive, standard regime .","18","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0129","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Concession notice – concessions directive, standard regime.","19","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0131","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract notice – general directive, light regime.","20","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0132","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract notice – sectoral directive, light regime.","21","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0133","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Subcontract notice – defence directive.","22","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0134","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Design contest notice – general directive, design.","23","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0135","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Design contest notice – sectoral directive, design.","24","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0136","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – general directive.","25","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0137","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – sectoral directive.","26","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0138","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – defence directive.","27","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0139","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – concession directive.","28","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0140","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract award notice – general directive, standard regime.","29","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0141","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract award notice – sectoral directive, standard regime.","30","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0142","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract award notice – defence directive, standard regime.","31","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0143","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Concession award notice – concession directive, standard regime.","32","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0145","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type .","T02","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0146","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract award notice – general directive, light regime.","33","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0147","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract award notice – sectoral directive, light regime.","34","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0148","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Concession award notice – concessions directive, light regime.","35","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0149","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Design contest result notice – general directive, design.","36","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0150","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Design contest result notice – sectoral directive, design.","37","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0151","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract modification notice – general directive.","38","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0152","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract modification notice – sectoral directive.","39","NULL","NULL","all","ERROR","4"
"BR-BT-00001-0153","mandatory","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is mandatory at Notice level for a notice of type Contract modification notice – concessions directive.","40","NULL","NULL","all","ERROR","4"
"BR-BT-00002-0001","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type .","X01","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0002","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type .","X02","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0004","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0005","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0006","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0007","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Prior information notice used only for information – general directive.","4","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0008","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Periodic indicative notice used only for information – sectoral directive.","5","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0009","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Prior information notice used only for information – defence directive.","6","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0011","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type .","T01","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0012","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – general directive.","7","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0013","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Periodic indicative notice used to shorten time limits for receipt of tenders – sectoral directive.","8","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0014","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – defence directive.","9","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0015","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Prior information notice used as a call for competition - general directive, standard regime.","10","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0016","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, standard regime.","11","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0017","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type .","CEI","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0018","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Prior information notice used as a call for competition - general directive, light regime.","12","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0019","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, light regime.","13","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0020","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Prior information notice used as a call for competition - concessions directive, light regime.","14","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0021","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Notice on the existence of a qualification system – sectoral directive.","15","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0022","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract notice – general directive, standard regime.","16","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0023","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract notice – sectoral directive, standard regime.","17","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0024","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract notice – defence directive, standard regime .","18","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0025","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Concession notice – concessions directive, standard regime.","19","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0027","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract notice – general directive, light regime.","20","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0028","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract notice – sectoral directive, light regime.","21","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0029","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Subcontract notice – defence directive.","22","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0030","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Design contest notice – general directive, design.","23","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0031","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Design contest notice – sectoral directive, design.","24","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0032","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – general directive.","25","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0033","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – sectoral directive.","26","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0034","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – defence directive.","27","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0035","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Voluntary ex-ante transparency notice – concession directive.","28","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0036","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract award notice – general directive, standard regime.","29","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0037","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract award notice – sectoral directive, standard regime.","30","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0038","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract award notice – defence directive, standard regime.","31","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0039","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Concession award notice – concession directive, standard regime.","32","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0041","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type .","T02","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0042","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract award notice – general directive, light regime.","33","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0043","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract award notice – sectoral directive, light regime.","34","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0044","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Concession award notice – concessions directive, light regime.","35","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0045","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Design contest result notice – general directive, design.","36","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0046","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Design contest result notice – sectoral directive, design.","37","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0047","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract modification notice – general directive.","38","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0048","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract modification notice – sectoral directive.","39","NULL","NULL","all","ERROR","2"
"BR-BT-00002-0049","mandatory","BT-02-notice","The BT-02 Notice Type is mandatory at Notice level for a notice of type Contract modification notice – concessions directive.","40","NULL","NULL","all","ERROR","2"
"BR-BT-00003-0001","mandatory","BT-03-notice","The BT-03 Form Type is mandatory at Notice level for a notice of type .","X01","NULL","NULL","all","ERROR","2"
"BR-BT-00003-0002","mandatory","BT-03-notice","The BT-03 Form Type is mandatory at Notice level for a notice of type .","X02","NULL","NULL","all","ERROR","2"
"BR-BT-00003-0004","mandatory","BT-03-notice","The BT-03 Form Type is mandatory at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","NULL","NULL","all","ERROR","2"
"BR-BT-00003-0005","mandatory","BT-03-notice","The BT-03 Form Type is mandatory at Notice level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","NULL","NULL","all","ERROR","2"
"BR-BT-00003-0006","mandatory","BT-03-notice","The BT-03 Form Type is mandatory at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","NULL","NULL","all","ERROR","2"
"BR-BT-00003-0007","mandatory","BT-03-notice","The BT-03 Form Type is mandatory at Notice level for a notice of type Prior information notice used only for information – general directive.","4","NULL","NULL","all","ERROR","2"
"BR-BT-00003-0008","mandatory","BT-03-notice","The BT-03 Form Type is mandatory at Notice level for a notice of type Periodic indicative notice used only for information – sectoral directive.","5","NULL","NULL","all","ERROR","2"
