"fieldId","btId","type","name","nameLabel","descriptionLabel","parentNodeId","maxLength","privacyCode","xpathAbsolute","businessEntityId"
"BT-06-Lot","BT-06","code","Strategic Procurement","Aim of strategic procurement","The procurement procedure aims at reducing the environmental impacts of the procurement, fulfilling social objectives and/or buying an innovative work, supply or service.","ND-StrategicProcurementType","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cac:ProcurementAdditionalType[cbc:ProcurementTypeCode/@listName='strategic-procurement']/cbc:ProcurementTypeCode","lot"
"BT-06-Lot-List","BT-06","text","Strategic Procurement Listname","Aim of strategic procurement","The procurement procedure aims at reducing the environmental impacts of the procurement, fulfilling social objectives and/or buying an innovative work, supply or service.","ND-StrategicProcurementType","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cac:ProcurementAdditionalType[cbc:ProcurementTypeCode/@listName='strategic-procurement']/cbc:ProcurementTypeCode/@listName","lot"
"BT-09(a)-Procedure","BT-09","id","Cross Border Law","Applicable cross-border law","The applicable law when buyers from different countries procure together within one procurement procedure.","ND-CrossBorderLaw","NULL","NULL","/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference[cbc:ID/text()='CrossBorderLaw']/cbc:ID","procedure"
"BT-09(b)-Procedure","BT-09","text-multilingual","Cross Border Law Description","Description","The applicable law when buyers from different countries procure together within one procurement procedure.","ND-CrossBorderLaw","1000","cro-bor-law","/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference[cbc:ID/text()='CrossBorderLaw']/cbc:DocumentDescription","procedure"
"BT-09(b)-Procedure-Language","BT-09","code","Cross Border Law Description Language","Applicable cross-border law","The applicable law when buyers from different countries procure together within one procurement procedure.","ND-CrossBorderLaw","NULL","NULL","/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference[cbc:ID/text()='CrossBorderLaw']/cbc:DocumentDescription/@languageID","procedure"
"BT-10-Procedure-Buyer","BT-10","code","Activity Authority","Activity of the contracting authority","The main activity of the contracting authority.","ND-ContractingParty","NULL","NULL","/*/cac:ContractingParty/cac:ContractingActivity/cbc:ActivityTypeCode[@listName='authority-activity']","buyer"
"BT-10-Procedure-Buyer-List","BT-10","text","Activity Authority Listname","Activity of the contracting authority","The main activity of the contracting authority.","ND-ContractingParty","NULL","NULL","/*/cac:ContractingParty/cac:ContractingActivity/cbc:ActivityTypeCode[@listName='authority-activity']/@listName","buyer"
"BT-11-Procedure-Buyer","BT-11","code","Buyer Legal Type","Legal type of the buyer","The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).","ND-ContractingParty","NULL","NULL","/*/cac:ContractingParty/cac:ContractingPartyType/cbc:PartyTypeCode[@listName='buyer-legal-type']","buyer"
"BT-11-Procedure-Buyer-List","BT-11","text","Buyer Legal Type Listname","Legal type of the buyer","The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).","ND-ContractingParty","NULL","NULL","/*/cac:ContractingParty/cac:ContractingPartyType/cbc:PartyTypeCode[@listName='buyer-legal-type']/@listName","buyer"
"BT-13(d)-Lot","BT-13","date","Additional Information Deadline","Deadline for requesting additional information","The time limit for requesting additional information about the procurement procedure.","ND-LotInfoRequestPeriod","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:TenderingProcess/cac:AdditionalInformationRequestPeriod/cbc:EndDate","lot"
"BT-13(d)-Part","BT-13","date","Additional Information Deadline","Deadline for requesting additional information","The time limit for requesting additional information about the procurement procedure.","ND-PartInfoRequestPeriod","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:TenderingProcess/cac:AdditionalInformationRequestPeriod/cbc:EndDate","part"
"BT-13(t)-Lot","BT-13","time","Additional Information Deadline","Deadline for requesting additional information","The time limit for requesting additional information about the procurement procedure.","ND-LotInfoRequestPeriod","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:TenderingProcess/cac:AdditionalInformationRequestPeriod/cbc:EndTime","lot"
"BT-13(t)-Part","BT-13","time","Additional Information Deadline","Deadline for requesting additional information","The time limit for requesting additional information about the procurement procedure.","ND-PartInfoRequestPeriod","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:TenderingProcess/cac:AdditionalInformationRequestPeriod/cbc:EndTime","part"
"BT-14-Lot","BT-14","code","Documents Restricted","Access to certain procurement documents is restricted","The access to certain procurement documents is restricted.","ND-LotProcurementDocument","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:DocumentType","lot"
"BT-14-Part","BT-14","code","Documents Restricted","Access to certain procurement documents is restricted","The access to certain procurement documents is restricted.","ND-PartProcurementDocument","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:DocumentType","part"
"BT-15-Lot","BT-15","url","Documents URL","Address of the procurement documents","The internet address for accessing (the non-restricted part of) the procurement documents. For all notices except prior information notices, the address shall give access that is direct (i.e. the exact webpage with the documents, not a general website), unrestricted (e.g. no registration), full (i.e. the procurement documents are complete) and free of charge and the documents shall be available already at the time of the publication of the notice.","ND-LotProcurementDocument","400","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:TenderingTerms/cac:CallForTendersDocumentReference/cac:Attachment[../cbc:DocumentType/text()='non-restricted-document']/cac:ExternalReference/cbc:URI","lot"
"BT-15-Part","BT-15","url","Documents URL","Address of the procurement documents","The internet address for accessing (the non-restricted part of) the procurement documents. For all notices except prior information notices, the address shall give access that is direct (i.e. the exact webpage with the documents, not a general website), unrestricted (e.g. no registration), full (i.e. the procurement documents are complete) and free of charge and the documents shall be available already at the time of the publication of the notice.","ND-PartProcurementDocument","400","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:TenderingTerms/cac:CallForTendersDocumentReference/cac:Attachment[../cbc:DocumentType/text()='non-restricted-document']/cac:ExternalReference/cbc:URI","part"
"BT-16-Organization-Company","BT-16","text","Organisation Part Name","Department","The name of a part of an organisation (e.g. the relevant department of a large buyer).","ND-CompanyAddress","1000","NULL","/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Organizations/efac:Organization/efac:Company/cac:PostalAddress/cbc:Department","organization"
"BT-16-Organization-TouchPoint","BT-16","text","Part Name","Department","The name of a part of an organisation (e.g. the relevant department of a large buyer).","ND-TouchpointAddress","1000","NULL","/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Organizations/efac:Organization/efac:TouchPoint/cac:PostalAddress/cbc:Department","touchpoint"
"BT-17-Lot","BT-17","code","SubmissionElectronic","Electronic submission","Whether economic operators are required, allowed, or not allowed to submit tenders, requests to participate, or expressions of interest electronically.","ND-LotTenderingProcess","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:TenderingProcess/cbc:SubmissionMethodCode[@listName='esubmission']","lot"
"BT-17-Lot-List","BT-17","text","SubmissionElectronic Listname","Electronic submission","Whether economic operators are required, allowed, or not allowed to submit tenders, requests to participate, or expressions of interest electronically.","ND-LotTenderingProcess","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:TenderingProcess/cbc:SubmissionMethodCode[@listName='esubmission']/@listName","lot"
"BT-18-Lot","BT-18","url","Submission URL","Address for submission","The internet address for submission of tenders, requests to participate, or expressions of interest by electronic means. The address shall be as direct as possible (ideally a dedicated address for the electronic submission, not just a general website).","ND-TenderRecipient","400","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:TenderingTerms/cac:TenderRecipientParty/cbc:EndpointID","lot"
"BT-19-Lot","BT-19","code","Submission Nonelectronic Justification","Justification for why electronic submission is not possible","The justification for electronic submission of tenders, requests to participate, or expressions of interest not being possible.","ND-NonEsubmission","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:TenderingProcess/cac:ProcessJustification/cbc:ProcessReasonCode[@listName='no-esubmission-justification']","lot"
"BT-19-Lot-List","BT-19","text","Submission Nonelectronic Justification Listname","Justification for why electronic submission is not possible","The justification for electronic submission of tenders, requests to participate, or expressions of interest not being possible.","ND-NonEsubmission","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:TenderingProcess/cac:ProcessJustification/cbc:ProcessReasonCode[@listName='no-esubmission-justification']/@listName","lot"
"BT-21-Lot","BT-21","text-multilingual","Title","Title","The name of the procurement procedure or lot.","ND-LotProcurementScope","400","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cbc:Name","lot"
"BT-21-Lot-Language","BT-21","code","Title Language","Title","The name of the procurement procedure or lot.","ND-LotProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cbc:Name/@languageID","lot"
"BT-21-LotsGroup","BT-21","text-multilingual","Title","Title","The name of the procurement procedure or lot.","ND-LotsGroupProcurementScope","400","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='LotsGroup']/cac:ProcurementProject/cbc:Name","groupOfLots"
"BT-21-LotsGroup-Language","BT-21","code","Title Language","Title","The name of the procurement procedure or lot.","ND-LotsGroupProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='LotsGroup']/cac:ProcurementProject/cbc:Name/@languageID","groupOfLots"
"BT-21-Part","BT-21","text-multilingual","Title","Title","The name of the procurement procedure or lot.","ND-PartProcurementScope","400","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cbc:Name","part"
"BT-21-Part-Language","BT-21","code","Title Language","Title","The name of the procurement procedure or lot.","ND-PartProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cbc:Name/@languageID","part"
"BT-21-Procedure","BT-21","text-multilingual","Title","Title","The name of the procurement procedure or lot.","ND-ProcedureProcurementScope","400","NULL","/*/cac:ProcurementProject/cbc:Name","procedure"
"BT-21-Procedure-Language","BT-21","code","Title Language","Title","The name of the procurement procedure or lot.","ND-ProcedureProcurementScope","NULL","NULL","/*/cac:ProcurementProject/cbc:Name/@languageID","procedure"
"BT-22-Lot","BT-22","id","Internal Identifier","Internal identifier","The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system).","ND-LotProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cbc:ID","lot"
"BT-22-Lot-Scheme","BT-22","text","Internal Identifier Schemename","Internal identifier","The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system).","ND-LotProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cbc:ID/@schemeName","lot"
"BT-22-LotsGroup","BT-22","id","Internal Identifier","Internal identifier","The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system).","ND-LotsGroupProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='LotsGroup']/cac:ProcurementProject/cbc:ID","groupOfLots"
"BT-22-LotsGroup-Scheme","BT-22","text","Internal Identifier Schemename","Internal identifier","The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system).","ND-LotsGroupProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='LotsGroup']/cac:ProcurementProject/cbc:ID/@schemeName","groupOfLots"
"BT-22-Part","BT-22","id","Internal Identifier","Internal identifier","The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system).","ND-PartProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cbc:ID","part"
"BT-22-Part-Scheme","BT-22","text","Internal Identifier Schemename","Internal identifier","The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system).","ND-PartProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cbc:ID/@schemeName","part"
"BT-22-Procedure","BT-22","id","Internal Identifier","Internal identifier","The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system).","ND-ProcedureProcurementScope","NULL","NULL","/*/cac:ProcurementProject/cbc:ID","procedure"
"BT-22-Procedure-Scheme","BT-22","text","Internal Identifier Schemename","Internal identifier","The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system).","ND-ProcedureProcurementScope","NULL","NULL","/*/cac:ProcurementProject/cbc:ID/@schemeName","procedure"
"BT-23-Lot","BT-23","code","Main Nature","Main nature of the contract","The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information shall be given for the whole procedure.","ND-LotProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cbc:ProcurementTypeCode[@listName='contract-nature']","lot"
"BT-23-Lot-List","BT-23","text","Main Nature Listname","Main nature of the contract","The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information shall be given for the whole procedure.","ND-LotProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cbc:ProcurementTypeCode[@listName='contract-nature']/@listName","lot"
"BT-23-Part","BT-23","code","Main Nature","Main nature of the contract","The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information shall be given for the whole procedure.","ND-PartProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cbc:ProcurementTypeCode[@listName='contract-nature']","part"
"BT-23-Part-List","BT-23","text","Main Nature Listname","Main nature of the contract","The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information shall be given for the whole procedure.","ND-PartProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cbc:ProcurementTypeCode[@listName='contract-nature']/@listName","part"
"BT-23-Procedure","BT-23","code","Main Nature","Main nature of the contract","The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information shall be given for the whole procedure.","ND-ProcedureProcurementScope","NULL","NULL","/*/cac:ProcurementProject/cbc:ProcurementTypeCode","procedure"
"BT-23-Procedure-List","BT-23","text","Main Nature Listname","Main nature of the contract","The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information shall be given for the whole procedure.","ND-ProcedureProcurementScope","NULL","NULL","/*/cac:ProcurementProject/cbc:ProcurementTypeCode/@listName","procedure"
"BT-24-Lot","BT-24","text-multilingual","Description","Description","The description of the nature and quantity of what is being bought or of the needs and requirements that shall be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.","ND-LotProcurementScope","6000","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cbc:Description","lot"
"BT-24-Lot-Language","BT-24","code","Description Language","Description","The description of the nature and quantity of what is being bought or of the needs and requirements that shall be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.","ND-LotProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cbc:Description/@languageID","lot"
"BT-24-LotsGroup","BT-24","text-multilingual","Description","Description","The description of the nature and quantity of what is being bought or of the needs and requirements that shall be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.","ND-LotsGroupProcurementScope","6000","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='LotsGroup']/cac:ProcurementProject/cbc:Description","groupOfLots"
"BT-24-LotsGroup-Language","BT-24","code","Description Language","Description","The description of the nature and quantity of what is being bought or of the needs and requirements that shall be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.","ND-LotsGroupProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='LotsGroup']/cac:ProcurementProject/cbc:Description/@languageID","groupOfLots"
"BT-24-Part","BT-24","text-multilingual","Description","Description","The description of the nature and quantity of what is being bought or of the needs and requirements that shall be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.","ND-PartProcurementScope","6000","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cbc:Description","part"
"BT-24-Part-Language","BT-24","code","Description Language","Description","The description of the nature and quantity of what is being bought or of the needs and requirements that shall be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.","ND-PartProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cbc:Description/@languageID","part"
"BT-24-Procedure","BT-24","text-multilingual","Description","Description","The description of the nature and quantity of what is being bought or of the needs and requirements that shall be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.","ND-ProcedureProcurementScope","6000","NULL","/*/cac:ProcurementProject/cbc:Description","procedure"
"BT-24-Procedure-Language","BT-24","code","Description Language","Description","The description of the nature and quantity of what is being bought or of the needs and requirements that shall be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.","ND-ProcedureProcurementScope","NULL","NULL","/*/cac:ProcurementProject/cbc:Description/@languageID","procedure"
"BT-25-Lot","BT-25","number","Quantity","Quantity","The number of units required.","ND-LotProcurementScope","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cbc:EstimatedOverallContractQuantity","lot"
"BT-26(a)-Lot","BT-26","code","Classification Type (e.g. CPV)","Classification type","The type of classification describing the purchase (e.g. the CPV).","ND-LotAdditionalClassification","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName","lot"
"BT-26(a)-Part","BT-26","code","Classification Type (e.g. CPV)","Classification type","The type of classification describing the purchase (e.g. the CPV).","ND-PartAdditionalClassification","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName","part"
"BT-26(a)-Procedure","BT-26","code","Classification Type (e.g. CPV)","Classification type","The type of classification describing the purchase (e.g. the CPV).","ND-ProcedureAdditionalCommodityClassification","NULL","NULL","/*/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName","procedure"
"BT-26(m)-Lot","BT-26","code","Classification Type (e.g. CPV)","Classification type","The type of classification describing the purchase (e.g. the CPV).","ND-LotMainClassification","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName","lot"
"BT-26(m)-Part","BT-26","code","Classification Type (e.g. CPV)","Classification type","The type of classification describing the purchase (e.g. the CPV).","ND-PartMainClassification","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName","part"
"BT-26(m)-Procedure","BT-26","code","Classification Type (e.g. CPV)","Classification type","The type of classification describing the purchase (e.g. the CPV).","ND-ProcedureMainClassification","NULL","NULL","/*/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName","procedure"
"BT-27-Lot","BT-27","amount","Estimated Value","Estimated value excluding VAT","The estimated value of the procurement procedure or lot, over its whole duration, including options and renewals.","ND-LotValueEstimate","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount","lot"
"BT-27-Lot-Currency","BT-27","code","Estimated Value Currency","Estimated value excluding VAT","The estimated value of the procurement procedure or lot, over its whole duration, including options and renewals.","ND-LotValueEstimate","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount/@currencyID","lot"
"BT-27-LotsGroup","BT-27","amount","Estimated Value","Estimated value excluding VAT","The estimated value of the procurement procedure or lot, over its whole duration, including options and renewals.","ND-LotsGroupValueEstimate","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='LotsGroup']/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount","groupOfLots"
"BT-27-LotsGroup-Currency","BT-27","code","Estimated Value Currency","Estimated value excluding VAT","The estimated value of the procurement procedure or lot, over its whole duration, including options and renewals.","ND-LotsGroupValueEstimate","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='LotsGroup']/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount/@currencyID","groupOfLots"
"BT-27-Part","BT-27","amount","Estimated Value","Estimated value excluding VAT","The estimated value of the procurement procedure or lot, over its whole duration, including options and renewals.","ND-PartValueEstimate","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount","part"
"BT-27-Part-Currency","BT-27","code","Estimated Value Currency","Estimated value excluding VAT","The estimated value of the procurement procedure or lot, over its whole duration, including options and renewals.","ND-PartValueEstimate","NULL","NULL","/*/cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount/@currencyID","part"
"BT-27-Procedure","BT-27","amount","Estimated Value","Estimated value excluding VAT","The estimated value of the procurement procedure or lot, over its whole duration, including options and renewals.","ND-ProcedureValueEstimate","NULL","NULL","/*/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount","procedure"
"BT-27-Procedure-Currency","BT-27","code","Estimated Value Currency","Estimated value excluding VAT","The estimated value of the procurement procedure or lot, over its whole duration, including options and renewals.","ND-ProcedureValueEstimate","NULL","NULL","/*/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount/@currencyID","procedure"
"BT-31-Procedure","BT-31","integer","Lots Max Allowed","Maximum number of lots for which one tenderer can submit tenders","The maximum number of lots for which one tenderer can submit tenders.","ND-LotDistribution","NULL","NULL","/*/cac:TenderingTerms/cac:LotDistribution/cbc:MaximumLotsSubmittedNumeric","procedure"
