"id","parentId","xpathRelative","description","repeatable"
"ND-GroupMaximumValueUnpublish","ND-NoticeResultGroupFA","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='gro-max-val']","Not Immediately Published (GroupMaximumValue)","FALSE"
"ND-GroupReestimatedValueUnpublish","ND-NoticeResultGroupFA","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='gro-ree-val']","Not Immediately Published (GroupReestimatedValue)","FALSE"
"ND-InterestExpressionReceptionPeriod","ND-LotTenderingProcessExtension","efac:InterestExpressionReceptionPeriod","Period during which Expressions of Interest may be sent","FALSE"
"ND-LateTendererInformation","ND-LotTenderingTerms","cac:TendererQualificationRequest[not(cbc:CompanyLegalFormCode)]/cac:SpecificTendererRequirement[cbc:TendererRequirementTypeCode/@listName='missing-info-submission']","Information about late provision of information by the tenderer (possibility and description of the information)","FALSE"
"ND-LocalEntity","ND-BusinessParty","cac:PartyLegalEntity[cbc:CompanyID/@schemeName = 'national']","Properties of the Local Entity (Name, Address …)","FALSE"
"ND-LocalLegalBasisNoID","ND-ProcedureTerms","cac:ProcurementLegislationDocumentReference[cbc:ID/text()='LocalLegalBasis']","Legislation impacting the procurement and for which no ID is known","TRUE"
"ND-LocalLegalBasisWithID","ND-ProcedureTerms","cac:ProcurementLegislationDocumentReference[not(cbc:ID/text()=('CrossBorderLaw','LocalLegalBasis'))]","Legislation impacting the procurement and for which an ID is known","TRUE"
"ND-Lot","ND-Root","cac:ProcurementProjectLot[cbc:ID/@schemeName='Lot']","Lot related information covering Tendering Terms, Tendering Process and Purpose","TRUE"
"ND-LotAdditionalClassification","ND-LotProcurementScope","cac:AdditionalCommodityClassification","Classification for an Additional Commodity of a Lot","TRUE"
"ND-LotAwardCriteria","ND-AwardingTerms","cac:AwardingCriterion","Award Criteria related information (Description, Justification, Individual Criterion …) for a Lot","FALSE"
"ND-LotAwardCriteriaNameUnpublish","ND-LotAwardCriterionParameters","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-nam']","Not Immediately Published (LotAwardCriteriaName)","FALSE"
"ND-LotAwardCriteriaOrderJustificationUnpublish","ND-LotAwardCriteria","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-ord']","Not Immediately Published (LotAwardCriteriaOrderJustification)","FALSE"
"ND-LotAwardCriterion","ND-LotAwardCriteria","cac:SubordinateAwardingCriterion","Award Criterion related information (Description, Name, Parameter, Code …) for a Lot","TRUE"
"ND-LotAwardCriterionDescriptionUnpublish","ND-LotAwardCriterionParameters","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-des']","Not Immediately Published (LotAwardCriterionDescription)","FALSE"
"ND-LotAwardCriterionFixNumberUnpublish","ND-LotAwardFixedCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-num']","Not Immediately Published (LotAwardCriterionFixNumber)","FALSE"
"ND-LotAwardCriterionNumberComplicatedUnpublish","ND-LotAwardCriteria","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-com']","Not Immediately Published (LotAwardCriterionNumberComplicated)","FALSE"
"ND-LotAwardCriterionNumberFixUnpublish","ND-LotAwardFixedCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-fix']","Not Immediately Published (LotAwardCriterionNumberFix)","FALSE"
"ND-LotAwardCriterionNumberThresholdUnpublish","ND-LotAwardThresholdCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-thr']","Not Immediately Published (LotAwardCriterionNumberThreshold)","FALSE"
"ND-LotAwardCriterionNumberWeightUnpublish","ND-LotAwardWeightCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-wei']","Not Immediately Published (LotAwardCriterionNumberWeight)","FALSE"
"ND-LotAwardCriterionParameters","ND-LotAwardCriterion","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension","Non UBL Native Subordinate Award Criteria elements for a Lot","FALSE"
"ND-LotAwardCriterionThresholdNumberUnpublish","ND-LotAwardThresholdCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-num']","Not Immediately Published (LotAwardCriterionThresholdNumber)","FALSE"
"ND-LotAwardCriterionTypeUnpublish","ND-LotAwardCriterionParameters","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-typ']","Not Immediately Published (LotAwardCriterionType)","FALSE"
"ND-LotAwardCriterionWeightNumberUnpublish","ND-LotAwardWeightCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-num']","Not Immediately Published (LotAwardCriterionWeightNumber)","FALSE"
"ND-LotAwardFixedCriterionParameter","ND-LotAwardCriterionParameters","efac:AwardCriterionParameter[efbc:ParameterCode/@listName='number-fixed']","Lot Award Fixed Criterion Parameter (Value and associated Code)","FALSE"
"ND-LotAwardThresholdCriterionParameter","ND-LotAwardCriterionParameters","efac:AwardCriterionParameter[efbc:ParameterCode/@listName='number-threshold']","Lot Award Threshold Criterion Parameter (Value and associated Code)","TRUE"
"ND-LotAwardWeightCriterionParameter","ND-LotAwardCriterionParameters","efac:AwardCriterionParameter[efbc:ParameterCode/@listName='number-weight']","Lot Award Weight Criterion Parameter (Value and associated Code)","FALSE"
"ND-LotContractAdditionalNature","ND-LotProcurementScope","cac:ProcurementAdditionalType[cbc:ProcurementTypeCode/@listName='contract-nature']","Additional contract nature for the Lot","TRUE"
"ND-LotDistribution","ND-ProcedureTerms","cac:LotDistribution","Lots Distribution Information (Max number of Lots a same tenderer may win, Max number of lots a tenderer may tender for, Group of lots and their composition)","FALSE"
"ND-LotDuration","ND-LotProcurementScope","cac:PlannedPeriod","Duration (Start and End Dates, Duration …) of the procurement associated to the Lot","FALSE"
"ND-LotEmploymentLegislation","ND-LotTenderingTerms","cac:EmploymentLegislationDocumentReference","Identifier, URL and issuer","FALSE"
"ND-LotEnvironmentalImpactType","ND-LotProcurementScope","cac:ProcurementAdditionalType[cbc:ProcurementTypeCode/@listName='environmental-impact']","Environmental impact procurement type","TRUE"
"ND-LotEnvironmentalLegislation","ND-LotTenderingTerms","cac:EnvironmentalLegislationDocumentReference","Identifier, URL and issuer","FALSE"
"ND-LotFiscalLegislation","ND-LotTenderingTerms","cac:FiscalLegislationDocumentReference","Identifier, URL and issuer","FALSE"
"ND-LotGreenCriteria","ND-LotProcurementScope","cac:ProcurementAdditionalType[cbc:ProcurementTypeCode/@listName='gpp-criteria']","Details about the use of Green Procurement Criteria","TRUE"
"ND-LotInfoRequestPeriod","ND-LotTenderingProcess","cac:AdditionalInformationRequestPeriod","Period to request further Information about the given Lot","FALSE"
"ND-LotInnovativeAcquisitionType","ND-LotProcurementScope","cac:ProcurementAdditionalType[cbc:ProcurementTypeCode/@listName='innovative-acquisition']","Innovative acquisition procurement type","TRUE"
"ND-LotMainClassification","ND-LotProcurementScope","cac:MainCommodityClassification","Classification for the Main Commodity of a Lot","FALSE"
"ND-LotPerformanceAddress","ND-LotPlacePerformance","cac:Address","Lot Place of Performance address","FALSE"
"ND-LotPlacePerformance","ND-LotProcurementScope","cac:RealizedLocation","A location where the Procurement, for the Lot, should take place","TRUE"
"ND-LotPreviousPlanning","ND-LotTenderingProcess","cac:NoticeDocumentReference","Lot Previous Planning Reference","TRUE"
"ND-LotProcurementDocument","ND-LotTenderingTerms","cac:CallForTendersDocumentReference","Procurement Document information for a Lot, independent from the restricted aspect","TRUE"
"ND-LotProcurementScope","ND-Lot","cac:ProcurementProject","Scope of the Procurement addressed with this Lot","FALSE"
"ND-LotReservedParticipation","ND-LotTenderingTerms","cac:TendererQualificationRequest[not(cbc:CompanyLegalFormCode)][not(cac:SpecificTendererRequirement/cbc:TendererRequirementTypeCode[@listName='missing-info-submission'])]","Lot Information about Reserved Participation","FALSE"
"ND-LotReservedProcurement","ND-LotReservedParticipation","cac:SpecificTendererRequirement[cbc:TendererRequirementTypeCode/@listName='reserved-procurement']","Reserved Procurement","TRUE"
"ND-LotResult","ND-NoticeResult","efac:LotResult","Outcome of the Procurement Procedure for a given Lot","TRUE"
"ND-LotResultContractReference","ND-LotResult","efac:SettledContract","Contract following an award decision","TRUE"
"ND-LotResultFAValues","ND-LotResult","efac:FrameworkAgreementValues","LotResult associated FA Values (Estimated & Maximal)","FALSE"
"ND-LotResultTenderReference","ND-LotResult","efac:LotTender","Tender considered for the award decision ","TRUE"
"ND-LotReviewTerms","ND-LotTenderingTerms","cac:AppealTerms","Deadline, Mediator, Information Provider, Recipient","FALSE"
"ND-LotsGroup","ND-Root","cac:ProcurementProjectLot[cbc:ID/@schemeName='LotsGroup']","LotsGroup related information covering Tendering Terms, Tendering Process and Purpose","TRUE"
"ND-LotsGroupAwardCriteria","ND-LotsGroupAwardingTerms","cac:AwardingCriterion","Award Criteria related information (Description, Justification, Individual Criterion …) for a Group of Lots","FALSE"
"ND-LotsGroupAwardCriteriaNameUnpublish","ND-LotsGroupAwardCriterionParameters","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-nam']","Not Immediately Published (LotsGroupAwardCriteriaName)","FALSE"
"ND-LotsGroupAwardCriteriaOrderJustificationUnpublish","ND-LotsGroupAwardCriteria","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-ord']","Not Immediately Published (LotsGroupAwardCriteriaOrderJustification)","FALSE"
"ND-LotsGroupAwardCriterion","ND-LotsGroupAwardCriteria","cac:SubordinateAwardingCriterion","Award Criterion related information (Description, Name, Parameter, Code …) for a Group of Lots","TRUE"
"ND-LotsGroupAwardCriterionDescriptionUnpublish","ND-LotsGroupAwardCriterionParameters","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-des']","Not Immediately Published (LotsGroupAwardCriterionDescription)","FALSE"
"ND-LotsGroupAwardCriterionFixNumberUnpublish","ND-LotsGroupAwardFixedCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-num']","Not Immediately Published (LotsGroupAwardCriterionFixNumber)","FALSE"
"ND-LotsGroupAwardCriterionNumberComplicatedUnpublish","ND-LotsGroupAwardCriteria","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-com']","Not Immediately Published (LotsGroupAwardCriterionNumberComplicated)","FALSE"
"ND-LotsGroupAwardCriterionNumberFixUnpublish","ND-LotsGroupAwardFixedCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-fix']","Not Immediately Published (LotsGroupAwardCriterionNumberFix)","FALSE"
"ND-LotsGroupAwardCriterionNumberThresholdUnpublish","ND-LotsGroupAwardThresholdCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-thr']","Not Immediately Published (LotsGroupAwardCriterionNumberThreshold)","FALSE"
"ND-LotsGroupAwardCriterionNumberWeightUnpublish","ND-LotsGroupAwardWeightCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-wei']","Not Immediately Published (LotsGroupAwardCriterionNumberWeight)","FALSE"
"ND-LotsGroupAwardCriterionParameters","ND-LotsGroupAwardCriterion","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension","Non UBL Native Subordinate Award Criteria elements for a Group of Lots","FALSE"
"ND-LotsGroupAwardCriterionThresholdNumberUnpublish","ND-LotsGroupAwardThresholdCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-num']","Not Immediately Published (LotsGroupAwardCriterionThresholdNumber)","FALSE"
"ND-LotsGroupAwardCriterionTypeUnpublish","ND-LotsGroupAwardCriterionParameters","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-typ']","Not Immediately Published (LotsGroupAwardCriterionType)","FALSE"
"ND-LotsGroupAwardCriterionWeightNumberUnpublish","ND-LotsGroupAwardWeightCriterionParameter","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='awa-cri-num']","Not Immediately Published (LotsGroupAwardCriterionWeightNumber)","FALSE"
"ND-LotsGroupAwardFixedCriterionParameter","ND-LotsGroupAwardCriterionParameters","efac:AwardCriterionParameter[efbc:ParameterCode/@listName='number-fixed']","Group of Lots Award Fixed Criterion Parameter (Value and associated Code)","FALSE"
"ND-LotsGroupAwardingTerms","ND-LotsGroup","cac:TenderingTerms/cac:AwardingTerms","Container for LotsGroup Award Criteria","FALSE"
"ND-LotsGroupAwardThresholdCriterionParameter","ND-LotsGroupAwardCriterionParameters","efac:AwardCriterionParameter[efbc:ParameterCode/@listName='number-threshold']","Group of Lots Award Threshold Criterion Parameter (Value and associated Code)","TRUE"
"ND-LotsGroupAwardWeightCriterionParameter","ND-LotsGroupAwardCriterionParameters","efac:AwardCriterionParameter[efbc:ParameterCode/@listName='number-weight']","Group of Lots Award Weight Criterion Parameter (Value and associated Code)","FALSE"
"ND-LotsGroupFA","ND-LotsGroup","cac:TenderingProcess/cac:FrameworkAgreement","Framework Agreement information for a Group of Lots","FALSE"
"ND-LotsGroupProcurementScope","ND-LotsGroup","cac:ProcurementProject","Scope of the Procurement addressed with this Group of Lots","FALSE"
"ND-LotsGroupValueEstimate","ND-LotsGroupProcurementScope","cac:RequestedTenderTotal","Group of Lots Overall Value Estimate (Amount and Currency)","FALSE"
"ND-LotsGroupValueEstimateExtension","ND-LotsGroupValueEstimate","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension","Non UBL native elements at LotsGroup Requested Tender Total level","FALSE"
"ND-LotSocialObjectiveType","ND-LotProcurementScope","cac:ProcurementAdditionalType[cbc:ProcurementTypeCode/@listName='social-objective']","Social objective procurement type","TRUE"
"ND-LotSubmissionLanguage","ND-LotTenderingTerms","cac:Language","Submission language","TRUE"
"ND-LotTender","ND-NoticeResult","efac:LotTender","Tender (or fragment of a Tender) submitted for a given Lot","TRUE"
"ND-LotTenderingProcess","ND-Lot","cac:TenderingProcess","Tendering Procedure information (GPA, Atypical Tool, Deadlines, techniques) for a Lot","FALSE"
"ND-LotTenderingProcessExtension","ND-LotTenderingProcess","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension","UBL non native elements in Lot Tendering Process (e.g. atypical  Access Tool)","FALSE"
"ND-LotTenderingTerms","ND-Lot","cac:TenderingTerms","Submission, validity, Recipient, Information and Document Providers …","FALSE"
"ND-LotTenderOriginCountry","ND-LotTender","efac:Origin","Origin country of the product or service","TRUE"
"ND-LotValueEstimate","ND-LotProcurementScope","cac:RequestedTenderTotal","Lot Overall Value Estimate (Amount and Currency)","FALSE"
"ND-LotValueEstimateExtension","ND-LotValueEstimate","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension","Non UBL native elements at Lot Requested Tender Total level","FALSE"
"ND-MaximalValueUnpublish","ND-LotResultFAValues","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='max-val']","Not Immediately Published (MaximalValue)","FALSE"
"ND-Modification","ND-ContractModification","efac:Change","Contract Modification (Section and Description)","TRUE"
"ND-ModificationReason","ND-ContractModification","efac:ChangeReason","Contract Modification Reason (Code and Description)","FALSE"
"ND-ModifiedSection","ND-Modification","efac:ChangedSection","Section subject to modification","TRUE"
"ND-NDA","ND-LotTenderingTerms","cac:ContractExecutionRequirement[cbc:ExecutionRequirementCode/@listName='nda']","Description of the NDA","FALSE"
"ND-NonEsubmission","ND-LotTenderingProcess","cac:ProcessJustification[cbc:ProcessReasonCode/@listName='no-esubmission-justification']","Justification for not accepting eSubmission","FALSE"
"ND-NonUBLTenderingTerms","ND-LotTenderingTerms","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension","Non UBL Native Tendring Terms elements for a Lot (TenderSubcontractingRequirements & SecondStageCriterion)","FALSE"
"ND-NotAwardedReasonUnpublish","ND-LotResult","efac:DecisionReason/efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='no-awa-rea']","Not Immediately Published (NotAwardedReason)","FALSE"
"ND-NoticeApproximateValueUnpublish","ND-NoticeResult","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='not-app-val']","Not Immediately Published (NoticeApproximateValue)","FALSE"
"ND-NoticeMaximumValueUnpublish","ND-NoticeResult","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='not-max-val']","Not Immediately Published (NoticeMaximumValue)","FALSE"
"ND-NoticeResult","ND-RootExtension","efac:NoticeResult","Outcome of the Procurement Procedure for all lots listed in the notice (also contains individual Lot Results)","FALSE"
"ND-NoticeResultGroupFA","ND-NoticeResult","efac:GroupFramework","Maximal Value and the associated awarded Group of Lots of the Result Notice","TRUE"
"ND-NoticeValueUnpublish","ND-NoticeResult","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='not-val']","Not Immediately Published (NoticeValue)","FALSE"
"ND-OperationType","ND-Root","efac:NoticePurpose","Type (Code, Description) of the operation covered by the notice","FALSE"
"ND-OptionsAndRenewals","ND-LotProcurementScope","cac:ContractExtension","Information about foreseen contract extensions (scope or duration)","FALSE"
"ND-OptionsDescription","ND-OptionsAndRenewals","cac:Renewal/cac:Period","Description of Options or Renewals","FALSE"
"ND-Organization","ND-Organizations","efac:Organization","A Party involved in the Competition from either side (Buyer or Tenderer) with a Legal Entity (Company) and possibly additional Contact Points (touchpoints)","TRUE"
"ND-Organizations","ND-RootExtension","efac:Organizations","Covers each individual Organization and Ultimate Beneficial Owner","FALSE"
"ND-OrganizationUboReference","ND-Organization","efac:UltimateBeneficialOwner","Organization UBO","TRUE"
"ND-OtherContractExecutionConditions","ND-LotTender","efac:ContractTerm[not(efbc:TermCode/text()='all-rev-tic')][efbc:TermCode/@listName='contract-detail']","Conditions other than Revenue Allocation","TRUE"
"ND-Part","ND-Root","cac:ProcurementProjectLot[cbc:ID/@schemeName='Part']","Part related information covering Tendering Terms, Tendering Process and Purpose","TRUE"
"ND-PartAdditionalClassification","ND-PartProcurementScope","cac:AdditionalCommodityClassification","Classification for an Additional Commodity of a Part","TRUE"
"ND-PartContractAdditionalNature","ND-PartProcurementScope","cac:ProcurementAdditionalType[cbc:ProcurementTypeCode/@listName='contract-nature']","Additional contract nature for the Part","TRUE"
"ND-PartDuration","ND-PartProcurementScope","cac:PlannedPeriod","Duration (Duration, Start and End or Other) for a Part","FALSE"
"ND-PartEmploymentLegislation","ND-PartTenderingTerms","cac:EmploymentLegislationDocumentReference","Identifier, URL and issuer","FALSE"
"ND-PartEnvironmentalLegislation","ND-PartTenderingTerms","cac:EnvironmentalLegislationDocumentReference","Identifier, URL and issuer","FALSE"
"ND-PartFiscalLegislation","ND-PartTenderingTerms","cac:FiscalLegislationDocumentReference","Identifier, URL and issuer","FALSE"
"ND-Participants","ND-LotTenderingTerms","cac:EconomicOperatorShortList","List of Paticipants (Names) to a Design Contest","FALSE"
"ND-ParticipationRequestPeriod","ND-LotTenderingProcess","cac:ParticipationRequestReceptionPeriod","Period to request participation to the Lot competition","FALSE"
"ND-PartInfoRequestPeriod","ND-PartTenderingProcess","cac:AdditionalInformationRequestPeriod","Period to request further information about the given Part","FALSE"
"ND-PartMainClassification","ND-PartProcurementScope","cac:MainCommodityClassification","Classification for the Main Commodity of a Part","FALSE"
"ND-PartPerformanceAddress","ND-PartPlacePerformance","cac:Address","Part Place of Performance address","FALSE"
"ND-PartPlacePerformance","ND-PartProcurementScope","cac:RealizedLocation","A location where the Procurement, for the Part, should take place","TRUE"
"ND-PartPreviousPlanning","ND-PartTenderingProcess","cac:NoticeDocumentReference","Part Previous Planning Reference","TRUE"
"ND-PartProcurementDocument","ND-PartTenderingTerms","cac:CallForTendersDocumentReference","Procurement Document information for a Part, independent from the restricted aspect","TRUE"
"ND-PartProcurementScope","ND-Part","cac:ProcurementProject","Scope of the Procurement addressed with this Part","FALSE"
