"ruleId","ruleType","fieldId","description","noticeSubtype","condition","expression","target","severity","context","contextNode","cvsStage"
"BR-BT-00023-0200","co_constraint","BT-23-Lot","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/23/EU', then Main Nature (BT-23) must be different from 'Supplies'.","NULL","Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/23/EU' and Main Nature (BT-23-Lot) exists.","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00023-0201","co_constraint","BT-23-Procedure","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/23/EU', then Main Nature (BT-23) must be different from 'Supplies'.","NULL","Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/23/EU' and Main Nature (BT-23-Lot) exists.","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00023-0202","co_constraint","BT-23-Procedure","Main Nature (BT-23) and Additional Nature (BT-531) must differ","NULL","Procedure Main Nature (BT-23) and Additional Nature (BT-531) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00023-0203","co_constraint","BT-23-Lot","Main Nature (BT-23) and Additional Nature (BT-531) must differ","NULL","Lot Main Nature (BT-23) and Additional Nature (BT-531) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00023-0204","co_constraint","BT-23-Part","Main Nature (BT-23) and Additional Nature (BT-531) must differ","NULL","Part Main Nature (BT-23) and Additional Nature (BT-531) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00031-0100","co_constraint","BT-31-Procedure","Lots Max Allowed (BT-31) value must not be greater than the total number of Purpose Lot Identifier (BT-137).","NULL","Lots Max Allowed (BT-31-Procedure) exists","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00033-0100","co_constraint","BT-33-Procedure","Lots Max Awarded (BT-33-Procedure) is lower or equal to Lots Max Allowed (BT-31-Procedure)","NULL","Lots Max Awarded (BT-33-Procedure) and Lots Max Allowed (BT-31-Procedure) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00036-0150","co_constraint","BT-36-Lot","If Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.', then Duration Period (BT-36) value must be lower than or equal to '3 years' or Duration Start Date (BT-536) value must be earlier than Duration End Date (BT-537) value by three or less years.","NULL","Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.' and Duration Period (BT-36-Lot) exists","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00036-0151","co_constraint","BT-36-Part","If Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.', then Duration Period (BT-36) value must be lower than or equal to '3 years' or Duration Start Date (BT-536) value must be earlier than Duration End Date (BT-537) value by three or less years.","NULL","Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.' and Duration Period (BT-36-Part) exists","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00050-0100","co_constraint","BT-50-Lot","Minimum Candidates (BT-50) value must be equal or lower than Maximum Candidates (BT-51) value.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00050-0101","co_constraint","BT-50-Lot","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Notice Type (BT-02) value is equal to 'Contract or concession notice – standard regime' and Procedure Type (BT-105) value is equal to 'Restricted', then Minimum Candidates (BT-50) value must be greater than '4'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00050-0102","co_constraint","BT-50-Lot","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Notice Type (BT-02) value is equal to 'Contract or concession notice – standard regime' and Procedure Type (BT-105) value is equal to 'Negotiated with prior publication of a call for competition / competitive with negotiation', then Minimum Candidates (BT-50) value must be greater than '2'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00050-0103","co_constraint","BT-50-Lot","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Notice Type (BT-02) value is equal to 'Contract or concession notice – standard regime' and Procedure Type (BT-105) value is equal to 'Competitive dialogue', then Minimum Candidates (BT-50) value must be greater than '2'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00050-0104","co_constraint","BT-50-Lot","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Notice Type (BT-02) value is equal to 'Contract or concession notice – standard regime' and Procedure Type (BT-105) value is equal to 'Innovation partnership', then Minimum Candidates (BT-50) value must be greater than '2'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00051-0100","co_constraint","BT-51-Lot","If, for a given lot, Maximum Candidates Number (BT-51) was set, the indicator Selection Criteria Second Stage Invite (BT-40) shall be set to 'true' for at least one of the Selection Criteria (BG-702) of the lot. (forms 16-18, 20-24)","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00105-0100","co_constraint","BT-105-Procedure","If Notice Type (BT-02) value is equal to 'Prior information notice or a periodic indicative notice used to shorten time limits for receipt of tenders' and Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU', then Procedure Type (BT-105) value must be equal to ('EMPTY' or 'Open' or 'Restricted').","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00105-0101","co_constraint","BT-105-Procedure","If Notice Type (BT-02) value is equal to 'Prior information notice or a periodic indicative notice used to shorten time limits for receipt of tenders' and Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/25/EU', then Procedure Type (BT-105) value must be equal to ('EMPTY' or 'Open').","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00105-0103","co_constraint","BT-105-Procedure","If Notice Type (BT-02) is equal to 'PIN CFC – social regime' and Procedure Legal Basis (BT-01) value is equal to ('Directive 2014/24/EU' or 'Directive 2014/25/EU'), then Procedure Type (BT-105) value must be equal to ('EMPTY' or 'Restricted' or 'Negotiated with prior publication of a call for competition / competitive with negotiation' or 'Competitive dialogue' or 'Innovation partnership' or 'Other single stage procedure' or 'Other multiple stage procedure').","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00105-0104","co_constraint","BT-105-Procedure","If Form Type (BT-03) value is equal to 'Competition', then Procedure Type (BT-105) value must be different from 'Negotiated without prior call for competition'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00105-0105","co_constraint","BT-105-Procedure","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2009/81/EC', then Procedure Type (BT-105) value must be different from ('Open' and 'Innovative Partnership' and 'Other single stage procedure' and 'Other multiple stage procedure').","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00105-0106","co_constraint","BT-105-Procedure","If Notice Type (BT-02) value is equal to 'Design', then Procedure Type (BT-105) value must be equal to ('Open' or 'Restricted' or 'Other single stage procedure' or 'Other multiple stage procedure').","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00105-0107","co_constraint","BT-105-Procedure","If Notice Type (BT-02) value is equal to 'Design contest result notice', then Procedure Type (BT-105) value must be equal to ('Open' or 'Restricted' or 'Other single stage procedure' or 'Other multiple stage procedure').","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00105-0108","co_constraint","BT-105-Procedure","If Notice Type (BT-02) value is equal to ('CAN standard' or 'Contract or concession award notice – social regime') and Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/23/EU', then Procedure Type (BT-105) value must be equal to ('Negotiated without prior call for competition' or 'Other single stage procedure' or 'Other multiple stage procedure').","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00105-0109","co_constraint","BT-105-Procedure","If Notice Type (BT-02) value is equal to 'VEAT', then Procedure Type (BT-105) value must be equal to 'Negotiated without prior call for competition'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00105-0110","co_constraint","BT-105-Procedure","Only if (Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Procedure Type (BT-105) value is equal to ('Open' or 'Restricted')) or (Procedure Legal Basis (BT-01) value is equal to 'Directive 2009/81/EC' and Procedure Type (BT-105) value is equal to ('Restricted' or 'Negotiated with prior publication of a call for comeptition / competitive with negotiation')), then Procedure Accelerated (BT-106) value is equal to 'Yes'. REQUESTED ALSO FOR D25 ??","NULL","Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Procedure is accelerated (BT-106-Procedure is true)","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00105-0111","co_constraint","BT-105-Procedure","Only if (Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Procedure Type (BT-105) value is equal to ('Open' or 'Restricted')) or (Procedure Legal Basis (BT-01) value is equal to 'Directive 2009/81/EC' and Procedure Type (BT-105) value is equal to ('Restricted' or 'Negotiated with prior publication of a call for comeptition / competitive with negotiation')), then Procedure Accelerated (BT-106) value is equal to 'Yes'. REQUESTED ALSO FOR D25 ??","NULL","Procedure Legal Basis (BT-01) value is equal to 'Directive 2009/81/EU' and Procedure is accelerated (BT-106-Procedure is true)","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00105-0112","co_constraint","BT-105-Procedure","Only if (Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Procedure Type (BT-105) value is equal to ('Open' or 'Restricted')) or (Procedure Legal Basis (BT-01) value is equal to 'Directive 2009/81/EC' and Procedure Type (BT-105) value is equal to ('Restricted' or 'Negotiated with prior publication of a call for comeptition / competitive with negotiation')), then Procedure Accelerated (BT-106) value is equal to 'Yes'. REQUESTED ALSO FOR D25 ??","NULL","Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/25/EU' and Procedure is accelerated (BT-106-Procedure is true)","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00115-0150","co_constraint","BT-115-Lot","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/23/EU' and Main Nature (BT-23) value is equal to 'services', then GPA Usage (BT-115) must be equal to 'No'.","NULL","Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/23/EU' and Main Nature (BT-23) value is equal to 'services'","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00118-0100","co_constraint","BT-118-NoticeResult","For any Result Notice without Group Framework Maximum Value (BT-156), and for which all Framework Maximum Value (BT-709) share a same currency, the Notice Framework Maximum Value (BT-118) value must be equal to the sum of Framework Maximum Value (BT-709) or to the sum of Framework Re-estimated Value (BT-660)","NULL","Notice Framework Maximum Value (BT-118) exists","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00127-0100","co_constraint","BT-127-notice","Future Notice (BT-127) value must be later than Notice Dispatch Date (BT-05) date.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00130-0100","co_constraint","BT-130-Lot","Dispatch Invitation Tender (BT-130) value must be later than Dispatch Invitation Interest (BT-631) value.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00131-0150","co_constraint","BT-131(d)-Lot","Additional Information Deadline (BT-13) value must be earlier or equal to Deadline Receipt Tenders (BT-131) value.","NULL","Additional Information Deadline (BT-13(d)-Lot) and Deadline Receipt Tenders (BT-131(d)-Lot) exist","NULL","all","ERROR","node","ND-LotTenderingProcess","5"
"BR-BT-00131-0151","co_constraint","BT-131(d)-Lot","Deadline Receipt Tenders (BT-131) value must be later than Notice Dispatch Date (BT-05) value.","NULL","Deadline Receipt Tenders (BT-131(d)-Lot) and Notice Dispatch Date (BT-05(a)-notice) exist","NULL","all","ERROR","node","ND-LotTenderingProcess","5"
"BR-BT-00132-0150","co_constraint","BT-132(d)-Lot","Opening Date (BT-132) value must be later than Deadline Receipt Requests (BT-1311) value.","NULL","Public Opening Date (BT-132(d)-Lot) and Deadline Receipt Requests (BT-1311(d)-Lot) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00132-0151","co_constraint","BT-132(d)-Lot","Opening Date (BT-132) value must be later than Deadline Receipt Tenders (BT-131) value.","NULL","Deadline Receipt Tenders (BT-131(d)-Lot) and Public Opening Date (BT-132(d)-Lot) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00137-0201","co_constraint","BT-137-Lot","Purpose Lot Identifier (BT-137) value must be unique.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00137-0202","co_constraint","BT-137-Part","Purpose Lot Identifier (BT-137) value must be unique.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00137-0203","co_constraint","BT-137-LotsGroup","Purpose Lot Identifier (BT-137) value must be unique.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00137-0204","co_constraint","BT-137-LotsGroup","Group Framework Maximum Value (BT-157) value must be lower or equal to the sum of Estimated Value (BT-27) for all Purpose (BG-02) that include Purpose Lot Identifier (BT-137) value that is equal to Group Framework Maximum Value Lot Identifier (BT-557) value.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00137-0207","co_constraint","BT-137-Lot","For Procedure subdivided into lots, Lot IDs shall be diffrent from LOT-0000.","NULL","the notice is a Planning, Competition or DAP divided into lots","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00137-0208","co_constraint","BT-137-Part","For a notice with multiple 'technical' parts, Part IDs shall differ from PAR-0000.","NULL","the Notice is a PIN only, divided into lots","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00137-0209","co_constraint","BT-137-Lot","For a DAP, Result, Contract Modification or Completion notice, every existing Lot (BT-137-Lot) must be associated with a LotResult (BT-13713-LotResult)","NULL","the notice is a DAP, Result, Contract Modification or Completion and there is at least one LotResult","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00137-0210","co_constraint","BT-137-LotsGroup","Any Group of Lots (BT-137-LotsGroup) must have its composition specified (BT-330-Procedure)","NULL","NULL","co_constraint","all","ERROR","parent","NULL","5"
"BR-BT-00145-0100","co_constraint","BT-145-Contract","The contract shall be settled before the notice is dispatched.","NULL","Contract Conclusion Date (BT-145-Contract) and notice dispatch date (BT-05(a)-notice) exist and form is Result, Contract Modification or Contract Completion.","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00150-0101","co_constraint","BT-150-Contract","Contract Identifier (BT-150) value must be unique.","NULL","NULL","co-constraint","all","ERROR","self","NULL","5"
"BR-BT-00198-4000","co_constraint","BT-198(BT-09)-Procedure","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4001","co_constraint","BT-198(BT-105)-Procedure","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4002","co_constraint","BT-198(BT-106)-Procedure","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4003","co_constraint","BT-198(BT-118)-NoticeResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4004","co_constraint","BT-198(BT-1252)-Procedure","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4005","co_constraint","BT-198(BT-135)-Procedure","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4006","co_constraint","BT-198(BT-1351)-Procedure","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4007","co_constraint","BT-198(BT-136)-Procedure","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4008","co_constraint","BT-198(BT-142)-LotResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4009","co_constraint","BT-198(BT-144)-LotResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4010","co_constraint","BT-198(BT-156)-NoticeResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4011","co_constraint","BT-198(BT-160)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4012","co_constraint","BT-198(BT-161)-NoticeResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4013","co_constraint","BT-198(BT-162)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4014","co_constraint","BT-198(BT-163)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4015","co_constraint","BT-198(BT-171)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4016","co_constraint","BT-198(BT-191)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4017","co_constraint","BT-198(BT-193)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4018","co_constraint","BT-198(BT-539)-Lot","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4019","co_constraint","BT-198(BT-539)-LotsGroup","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4020","co_constraint","BT-198(BT-540)-Lot","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4021","co_constraint","BT-198(BT-540)-LotsGroup","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4024","co_constraint","BT-198(BT-5421)-Lot","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4025","co_constraint","BT-198(BT-5421)-LotsGroup","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4026","co_constraint","BT-198(BT-5422)-Lot","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4027","co_constraint","BT-198(BT-5422)-LotsGroup","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4028","co_constraint","BT-198(BT-5423)-Lot","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4029","co_constraint","BT-198(BT-5423)-LotsGroup","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4030","co_constraint","BT-198(BT-543)-Lot","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4031","co_constraint","BT-198(BT-543)-LotsGroup","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4032","co_constraint","BT-198(BT-553)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4033","co_constraint","BT-198(BT-554)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4034","co_constraint","BT-198(BT-555)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4035","co_constraint","BT-198(BT-556)-NoticeResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4036","co_constraint","BT-198(BT-709)-LotResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4037","co_constraint","BT-198(BT-710)-LotResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4038","co_constraint","BT-198(BT-711)-LotResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4039","co_constraint","BT-198(BT-712)-LotResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4040","co_constraint","BT-198(BT-720)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4041","co_constraint","BT-198(BT-730)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4042","co_constraint","BT-198(BT-731)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4043","co_constraint","BT-198(BT-733)-Lot","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4044","co_constraint","BT-198(BT-733)-LotsGroup","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4045","co_constraint","BT-198(BT-734)-Lot","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4046","co_constraint","BT-198(BT-734)-LotsGroup","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
